,Time,Average Demand,Peak,Off Peak
0,2020-07-06 00:00:00,1161.0,0.0,1161.0
0,2020-07-07 00:00:00,1198.0,0.0,1198.0
0,2020-05-25 00:00:00,1091.45,0.0,1091.45
0,2020-07-08 00:00:00,1140.0,0.0,1140.0
0,2020-05-24 00:00:00,1137.5,0.0,1137.5
0,2020-07-09 00:00:00,1169.0,0.0,1169.0
0,2020-05-26 00:00:00,1080.0,0.0,1080.0
0,2020-05-23 00:00:00,1038.0,0.0,1038.0
0,2020-05-22 00:00:00,839.5,0.0,839.5
0,2020-07-11 00:00:00,1238.5,0.0,1238.5
0,2020-07-12 00:00:00,1104.5,0.0,1104.5
0,2020-05-21 00:00:00,1016.5,0.0,1016.5
0,2020-07-13 00:00:00,1147.5,0.0,1147.5
0,2020-05-20 00:00:00,1055.5,0.0,1055.5
0,2020-07-10 00:00:00,1224.5,0.0,1224.5
0,2020-07-05 00:00:00,1199.5,0.0,1199.5
0,2020-05-27 00:00:00,1331.0,0.0,1331.0
0,2020-07-04 00:00:00,1141.09,0.0,1141.09
0,2020-02-03 00:00:00,1334.5,0.0,1334.5
0,2020-11-06 00:00:00,1781.5,0.0,1781.5
0,2020-02-02 00:00:00,1292.0,0.0,1292.0
0,2020-11-07 00:00:00,1840.0,0.0,1840.0
0,2020-02-01 00:00:00,1373.5,0.0,1373.5
0,2020-11-08 00:00:00,1796.0,0.0,1796.0
0,2020-11-09 00:00:00,1688.0,0.0,1688.0
0,2020-05-31 00:00:00,1069.5,0.0,1069.5
0,2020-11-10 00:00:00,1763.0,0.0,1763.0
0,2020-05-30 00:00:00,1187.5,0.0,1187.5
0,2020-07-01 00:00:00,895.5,0.0,895.5
0,2020-07-02 00:00:00,1260.0,0.0,1260.0
0,2020-05-29 00:00:00,1160.5,0.0,1160.5
0,2020-07-03 00:00:00,1133.0,0.0,1133.0
0,2020-05-28 00:00:00,1257.5,0.0,1257.5
0,2020-02-04 00:00:00,1345.5,0.0,1345.5
0,2020-06-14 00:00:00,1034.5,0.0,1034.5
0,2020-04-17 00:00:00,964.0,0.0,964.0
0,2020-04-16 00:00:00,987.5,0.0,987.5
0,2020-03-17 00:00:00,1240.0,0.0,1240.0
0,2020-12-06 00:00:00,1090.5,0.0,1090.5
0,2020-03-18 00:00:00,1118.5,0.0,1118.5
0,2020-12-05 00:00:00,1143.0,0.0,1143.0
0,2020-03-19 00:00:00,1110.55,0.0,1110.55
0,2020-12-04 00:00:00,1250.0,0.0,1250.0
0,2020-03-16 00:00:00,1214.5,0.0,1214.5
0,2020-03-20 00:00:00,1122.0,0.0,1122.0
0,2020-03-21 00:00:00,1090.0,0.0,1090.0
0,2020-03-22 00:00:00,1006.0,0.0,1006.0
0,2020-12-02 00:00:00,1118.5,0.0,1118.5
